episode_id,queue_id,customers,service_times,delay_times,predicted_wait,actual_wait
0,0,4,"[24, 8, 9, 9]","[0, 0, 0, 0]",50,52.33242543837776
0,1,8,"[16, 14, 24, 23, 9, 7, 6, 12]","[0, 24, 6, 24, 43, 0, 0, 0]",111,207.28253754652272
0,2,6,"[21, 20, 25, 7, 25, 20]","[0, 52, 0, 0, 0, 0]",118,168.0323845422995
1,0,2,"[17, 9]","[0, 0]",26,25.315170940893207
1,1,10,"[17, 13, 16, 23, 10, 11, 14, 15, 23, 21]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",163,167.65460415120202
1,2,12,"[23, 25, 17, 20, 17, 18, 21, 12, 8, 23, 12, 11]","[9, 8, 0, 0, 0, 0, 0, 36, 0, 0, 27, 10]",207,294.82848934480006
1,3,1,[16],[0],16,16.018571497129827
1,4,9,"[7, 11, 14, 24, 24, 5, 17, 12, 24]","[0, 0, 0, 15, 24, 0, 0, 0, 0]",138,180.48117318563328
1,5,12,"[17, 23, 16, 25, 10, 24, 25, 8, 15, 23, 23, 23]","[0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",232,292.68594648073343
2,0,7,"[21, 8, 19, 7, 14, 25, 20]","[0, 0, 0, 0, 0, 0, 14]",114,127.78545551561766
2,1,5,"[14, 13, 7, 17, 6]","[0, 0, 0, 0, 6]",57,67.23115851746898
2,2,3,"[21, 11, 24]","[0, 0, 42]",56,97.7982378565072
2,3,11,"[15, 8, 20, 12, 22, 25, 13, 17, 14, 10, 16]","[0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]",172,186.36537264511108
2,4,1,[14],[0],14,17.91032652157837
3,0,11,"[17, 7, 24, 18, 18, 13, 5, 22, 21, 20, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 11, 37, 12]",175,235.32385142936528
3,1,8,"[10, 20, 13, 22, 12, 11, 5, 13]","[0, 33, 0, 0, 0, 0, 0, 0]",106,142.9653907448229
3,2,8,"[14, 8, 18, 25, 6, 15, 10, 20]","[40, 28, 37, 5, 0, 0, 0, 0]",116,226.43997533803642
3,3,2,"[20, 13]","[0, 0]",33,33.79890412571841
3,4,3,"[21, 14, 25]","[0, 0, 0]",60,63.056564344666874
3,5,7,"[6, 19, 10, 20, 25, 17, 12]","[50, 0, 0, 0, 0, 30, 0]",109,191.3656334543348
4,0,12,"[22, 5, 8, 20, 16, 25, 8, 15, 18, 12, 24, 22]","[0, 0, 0, 0, 0, 0, 0, 46, 0, 7, 0, 24]",195,273.55508807790744
4,1,6,"[19, 10, 20, 20, 12, 25]","[0, 0, 0, 0, 0, 0]",106,110.4249737465776
4,2,8,"[23, 19, 14, 15, 25, 5, 12, 20]","[0, 0, 0, 0, 21, 0, 0, 0]",133,157.32221214895895
4,3,8,"[22, 10, 24, 9, 9, 5, 18, 5]","[0, 0, 11, 0, 0, 0, 0, 13]",102,126.34927156897618
4,4,5,"[16, 5, 8, 6, 5]","[0, 0, 10, 0, 0]",40,54.65270762793465
5,0,1,[20],[0],20,18.492012892605437
5,1,6,"[21, 13, 20, 12, 7, 5]","[0, 0, 0, 0, 0, 0]",78,75.55648523941463
6,0,6,"[24, 19, 18, 24, 8, 10]","[0, 0, 0, 0, 0, 0]",103,105.3589079478465
6,1,5,"[21, 21, 13, 13, 22]","[0, 0, 0, 0, 0]",90,91.41000258715822
6,2,6,"[6, 8, 8, 9, 9, 6]","[0, 0, 35, 0, 0, 0]",46,83.13904595999526
6,3,5,"[20, 23, 15, 17, 10]","[0, 0, 0, 0, 0]",85,89.45746547240489
6,4,2,"[9, 16]","[0, 0]",25,29.538907731158083
6,5,2,"[19, 16]","[0, 0]",35,38.34845664615729
7,0,11,"[16, 25, 12, 8, 8, 6, 24, 21, 13, 6, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",149,153.698460544474
7,1,8,"[25, 22, 19, 20, 7, 9, 20, 16]","[22, 0, 0, 0, 0, 0, 0, 0]",138,158.82579412834323
8,0,9,"[8, 10, 10, 17, 19, 23, 10, 20, 19]","[0, 0, 38, 0, 0, 0, 0, 0, 0]",136,178.50201094826315
8,1,4,"[23, 12, 25, 25]","[30, 0, 0, 0]",85,112.16581681928213
9,0,3,"[17, 18, 25]","[0, 0, 0]",60,59.07762245649393
9,1,1,[12],[0],12,16.81355903183388
9,2,3,"[14, 6, 21]","[35, 0, 0]",41,76.76350668382939
9,3,6,"[11, 10, 12, 7, 5, 15]","[0, 0, 0, 0, 8, 0]",60,68.6518126150373
10,0,1,[14],[0],14,17.593031725097035
10,1,6,"[7, 24, 24, 24, 8, 12]","[0, 0, 0, 9, 0, 0]",99,109.69815551848565
11,0,7,"[8, 10, 7, 14, 8, 22, 14]","[0, 0, 0, 0, 0, 0, 0]",83,84.55052672892015
11,1,10,"[5, 11, 20, 12, 25, 14, 7, 5, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",109,106.35095778732885
11,2,1,[16],[0],16,20.417072098059776
11,3,10,"[15, 23, 6, 8, 12, 12, 8, 6, 5, 9]","[0, 10, 0, 0, 36, 0, 0, 15, 12, 0]",104,174.63444359105415
11,4,7,"[18, 11, 10, 15, 8, 12, 8]","[11, 0, 0, 13, 0, 0, 0]",82,108.36004569069429
12,0,3,"[14, 9, 19]","[0, 25, 20]",42,89.85794040130877
12,1,5,"[22, 11, 24, 16, 8]","[8, 0, 0, 14, 0]",81,105.99037774087641
13,0,4,"[17, 10, 11, 11]","[0, 0, 0, 33]",49,83.8961466859308
13,1,5,"[16, 11, 14, 21, 10]","[0, 7, 58, 0, 41]",72,176.58512300922624
13,2,11,"[18, 17, 23, 5, 11, 11, 12, 24, 22, 7, 14]","[0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0]",164,181.0348217911873
13,3,3,"[20, 6, 9]","[46, 0, 33]",35,114.78594937414665
14,0,9,"[12, 16, 12, 18, 23, 14, 24, 6, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",148,149.07184397305218
14,1,10,"[5, 9, 19, 13, 20, 16, 15, 21, 24, 21]","[0, 0, 0, 0, 0, 0, 0, 0, 21, 0]",163,181.32481249538364
14,2,7,"[16, 17, 17, 20, 15, 12, 8]","[0, 0, 0, 0, 38, 7, 0]",105,151.56006112063736
14,3,1,[17],[0],17,14.233944030023924
14,4,8,"[18, 20, 9, 16, 19, 17, 15, 5]","[0, 0, 0, 0, 6, 0, 0, 0]",119,122.22869137413501
14,5,7,"[14, 7, 18, 6, 9, 24, 15]","[0, 0, 0, 9, 0, 0, 0]",93,99.7011480086455
15,0,6,"[10, 9, 8, 13, 8, 15]","[0, 0, 0, 0, 0, 0]",63,60.472259180194925
15,1,9,"[5, 10, 16, 7, 24, 13, 11, 18, 21]","[12, 0, 0, 10, 0, 0, 29, 0, 0]",125,177.30600695727293
15,2,3,"[9, 5, 13]","[0, 0, 0]",27,31.739589144008754
15,3,12,"[8, 7, 18, 19, 17, 11, 21, 23, 20, 8, 9, 12]","[0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 6]",173,227.35362130776764
16,0,11,"[7, 9, 12, 24, 24, 22, 17, 6, 24, 24, 5]","[0, 51, 0, 0, 0, 0, 0, 10, 0, 0, 0]",174,236.70613858108348
16,1,8,"[15, 9, 8, 10, 7, 6, 5, 5]","[9, 0, 0, 0, 0, 0, 0, 14]",65,85.90004944138242
16,2,1,[20],[0],20,17.690308585947985
16,3,11,"[23, 17, 15, 13, 22, 12, 11, 6, 14, 15, 24]","[0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 13]",172,199.58529535950885
17,0,12,"[13, 15, 13, 10, 11, 17, 11, 13, 25, 19, 16, 16]","[0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 36]",179,221.14248678295118
17,1,4,"[6, 19, 11, 7]","[0, 0, 0, 0]",43,42.17773157206572
17,2,5,"[20, 23, 8, 16, 13]","[0, 0, 0, 0, 0]",80,78.7097337022238
17,3,7,"[24, 5, 19, 21, 6, 11, 21]","[0, 6, 0, 0, 5, 0, 0]",107,116.0244831210855
18,0,10,"[10, 11, 11, 7, 21, 18, 9, 15, 13, 13]","[0, 0, 15, 0, 0, 0, 0, 0, 12, 0]",128,157.7093234337116
18,1,1,[23],[0],23,21.58326895896389
18,2,4,"[15, 20, 11, 17]","[0, 0, 0, 0]",63,67.4196662831697
19,0,9,"[9, 23, 22, 15, 12, 12, 20, 7, 21]","[0, 14, 0, 0, 0, 0, 0, 31, 0]",141,190.54026485256702
19,1,8,"[16, 25, 24, 17, 13, 11, 5, 20]","[0, 0, 0, 30, 14, 14, 5, 32]",131,225.20915209907952
19,2,7,"[24, 10, 16, 14, 25, 23, 13]","[0, 0, 0, 0, 0, 0, 0]",125,126.08486881881372
20,0,5,"[24, 21, 14, 20, 23]","[0, 12, 0, 0, 0]",102,116.49463301053325
20,1,11,"[21, 8, 24, 5, 20, 24, 5, 25, 18, 16, 20]","[0, 14, 0, 0, 0, 30, 0, 11, 0, 0, 0]",186,240.48682482138153
20,2,3,"[13, 9, 6]","[0, 0, 10]",28,38.75448993229326
21,0,4,"[22, 14, 23, 12]","[0, 0, 0, 0]",71,68.13975320456277
21,1,3,"[13, 6, 9]","[0, 0, 38]",28,70.08758204323574
21,2,9,"[18, 7, 12, 15, 16, 5, 12, 24, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",114,117.21762820987323
21,3,12,"[11, 23, 22, 12, 16, 9, 5, 9, 24, 25, 15, 14]","[0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0]",185,214.2857279860622
22,0,3,"[19, 11, 21]","[0, 33, 0]",51,81.86102300137328
22,1,1,[15],[0],15,15.102642495656909
22,2,10,"[12, 5, 16, 25, 25, 15, 7, 21, 15, 21]","[10, 0, 32, 0, 0, 0, 0, 0, 0, 0]",162,207.6678033537917
22,3,6,"[13, 18, 7, 19, 14, 22]","[0, 0, 60, 8, 0, 0]",93,162.75602687180972
22,4,12,"[14, 16, 17, 8, 15, 14, 12, 15, 17, 18, 23, 10]","[0, 0, 0, 38, 0, 35, 0, 0, 0, 0, 51, 0]",179,302.8514365205744
22,5,8,"[24, 8, 15, 19, 18, 21, 23, 9]","[0, 0, 0, 0, 0, 0, 0, 0]",137,135.88044364151133
23,0,6,"[7, 12, 7, 9, 11, 8]","[0, 13, 0, 0, 0, 0]",54,71.1657115748904
23,1,11,"[24, 17, 19, 11, 9, 21, 15, 7, 10, 7, 18]","[10, 31, 14, 0, 0, 15, 0, 29, 0, 0, 0]",158,261.74337730116866
23,2,9,"[23, 7, 24, 25, 13, 21, 15, 6, 11]","[0, 0, 6, 0, 0, 0, 22, 0, 13]",145,190.3849670200645
23,3,6,"[11, 25, 8, 25, 10, 10]","[32, 0, 0, 0, 0, 0]",89,124.82988621898227
24,0,10,"[6, 25, 15, 14, 23, 21, 19, 14, 18, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",162,160.01084636487013
24,1,6,"[11, 16, 18, 7, 18, 10]","[0, 0, 13, 0, 0, 0]",80,95.76162491452182
24,2,12,"[9, 5, 14, 10, 18, 5, 9, 22, 20, 8, 24, 12]","[0, 0, 14, 0, 0, 59, 0, 0, 0, 0, 0, 0]",156,228.6589903903919
24,3,3,"[18, 22, 18]","[15, 0, 0]",58,74.91811764930544
24,4,9,"[20, 8, 17, 19, 14, 21, 6, 25, 24]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",154,155.12102352505087
25,0,4,"[5, 8, 20, 15]","[0, 31, 60, 0]",48,143.83695841245608
25,1,3,"[12, 25, 25]","[0, 0, 0]",62,62.098343992245894
26,0,5,"[16, 20, 23, 16, 22]","[0, 0, 0, 0, 0]",97,96.05127944348465
26,1,11,"[22, 6, 14, 6, 19, 23, 16, 8, 12, 9, 18]","[0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 20]",153,182.64066144650536
26,2,2,"[7, 19]","[0, 0]",26,23.758494000753064
26,3,6,"[20, 11, 21, 14, 5, 13]","[0, 0, 0, 0, 0, 10]",84,97.06362092852714
27,0,1,[19],[0],19,20.70168679304643
27,1,2,"[16, 20]","[0, 9]",36,43.67263921856042
27,2,7,"[9, 22, 17, 8, 19, 16, 5]","[0, 0, 0, 30, 0, 0, 0]",96,124.02898725725814
27,3,1,[25],[0],25,26.737448228990495
28,0,11,"[13, 6, 12, 10, 13, 16, 20, 10, 17, 20, 8]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14]",145,168.35100679456644
28,1,6,"[23, 12, 23, 14, 15, 5]","[0, 9, 0, 0, 0, 0]",92,105.1738892846633
28,2,4,"[13, 19, 20, 7]","[0, 0, 0, 0]",59,61.77259693266806
28,3,4,"[8, 7, 15, 23]","[0, 0, 0, 0]",53,54.448349357207086
28,4,12,"[15, 13, 10, 14, 23, 21, 19, 8, 10, 6, 22, 16]","[12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0]",177,205.88068188833063
28,5,6,"[10, 7, 15, 15, 20, 14]","[0, 0, 0, 0, 0, 0]",81,81.80474410092795
29,0,10,"[13, 22, 14, 5, 11, 19, 20, 11, 14, 12]","[0, 0, 8, 0, 0, 0, 0, 0, 0, 0]",141,150.63126434692256
29,1,6,"[13, 14, 10, 18, 18, 10]","[0, 0, 0, 0, 0, 44]",83,129.55107230235075
29,2,6,"[8, 9, 16, 25, 9, 19]","[0, 0, 51, 0, 0, 0]",86,134.7699732610844
29,3,7,"[10, 23, 12, 9, 8, 23, 8]","[0, 0, 0, 0, 0, 37, 0]",93,134.70441332177802
30,0,12,"[22, 8, 24, 11, 5, 18, 18, 9, 19, 23, 12, 23]","[0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0]",192,203.7541970455321
30,1,7,"[19, 10, 12, 13, 8, 23, 23]","[0, 0, 0, 0, 34, 0, 0]",108,142.1620880718652
30,2,4,"[7, 22, 22, 6]","[55, 36, 0, 0]",57,145.66279652006315
30,3,2,"[12, 21]","[15, 6]",33,53.62093594752282
30,4,6,"[16, 21, 13, 17, 5, 7]","[0, 0, 0, 0, 0, 0]",79,81.54000918412576
30,5,3,"[18, 11, 21]","[0, 0, 0]",50,47.75931609781394
31,0,8,"[15, 12, 5, 9, 23, 13, 25, 22]","[0, 14, 0, 0, 0, 9, 0, 0]",124,146.67553294638472
31,1,8,"[5, 24, 22, 16, 21, 17, 6, 6]","[22, 0, 0, 10, 0, 0, 0, 13]",117,166.25003062241368
31,2,2,"[12, 11]","[14, 8]",23,42.23640999734412
31,3,6,"[16, 8, 14, 8, 10, 9]","[0, 0, 0, 0, 0, 33]",65,96.10761505851292
32,0,10,"[16, 14, 22, 10, 22, 12, 13, 22, 8, 18]","[0, 0, 0, 38, 0, 28, 0, 22, 0, 0]",157,242.45649414512894
32,1,10,"[24, 8, 12, 15, 13, 5, 23, 21, 6, 20]","[7, 0, 0, 9, 0, 0, 0, 0, 38, 0]",147,201.53635238872405
32,2,1,[8],[0],8,12.831737672664664
32,3,10,"[17, 10, 21, 18, 24, 8, 21, 12, 15, 20]","[0, 0, 0, 0, 30, 0, 0, 0, 0, 0]",166,196.54039799328177
32,4,5,"[13, 8, 10, 15, 8]","[0, 0, 0, 0, 0]",54,51.6150100223951
33,0,1,[7],[7],7,14.509564874492831
33,1,10,"[19, 12, 25, 19, 8, 24, 8, 13, 18, 20]","[0, 0, 0, 30, 9, 0, 0, 0, 0, 52]",166,256.7664442827937
33,2,8,"[17, 10, 24, 17, 14, 7, 10, 25]","[0, 14, 0, 0, 0, 0, 0, 33]",124,175.51322870928226
34,0,5,"[20, 13, 25, 6, 8]","[0, 0, 15, 0, 39]",72,129.5613436323156
34,1,10,"[10, 16, 10, 19, 23, 24, 23, 24, 10, 19]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",178,175.57034436081014
34,2,6,"[21, 17, 11, 25, 25, 11]","[0, 39, 37, 15, 0, 0]",110,202.46616751785953
35,0,5,"[13, 8, 6, 22, 16]","[0, 27, 0, 0, 0]",65,93.01873646023961
35,1,3,"[8, 19, 23]","[0, 0, 0]",50,53.27999710116929
36,0,5,"[5, 7, 18, 13, 19]","[0, 0, 0, 0, 0]",62,60.96158036533519
36,1,3,"[21, 23, 12]","[0, 0, 0]",56,53.97939168334208
36,2,11,"[21, 19, 20, 5, 7, 14, 19, 9, 22, 11, 22]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",169,180.96708007974985
36,3,7,"[11, 21, 15, 9, 22, 19, 20]","[6, 8, 0, 13, 0, 0, 0]",117,145.24026959921173
36,4,9,"[20, 16, 15, 8, 20, 14, 6, 23, 13]","[0, 0, 0, 0, 0, 0, 0, 31, 0]",135,170.2915375816072
36,5,2,"[24, 13]","[0, 0]",37,39.332209021094
37,0,4,"[23, 24, 6, 22]","[8, 31, 0, 0]",75,115.05392404567655
37,1,11,"[7, 24, 24, 22, 6, 14, 16, 13, 24, 5, 12]","[33, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0]",167,209.9620102109915
37,2,6,"[8, 21, 20, 9, 20, 7]","[0, 0, 0, 0, 8, 0]",85,91.33098041895028
37,3,11,"[10, 18, 9, 25, 23, 18, 22, 17, 14, 5, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",172,175.81047445977248
38,0,4,"[23, 5, 11, 13]","[0, 0, 0, 0]",52,50.588598131339566
38,1,12,"[9, 18, 18, 16, 22, 14, 23, 15, 5, 18, 24, 6]","[0, 0, 0, 0, 59, 11, 9, 0, 0, 0, 0, 0]",188,267.974361722083
38,2,12,"[7, 22, 12, 23, 5, 7, 10, 5, 15, 18, 16, 11]","[0, 12, 0, 0, 50, 12, 0, 10, 0, 0, 0, 0]",151,238.47034528258843
38,3,10,"[5, 14, 18, 6, 24, 19, 9, 20, 6, 6]","[0, 53, 0, 0, 0, 0, 32, 15, 0, 0]",127,227.975107386441
38,4,1,[24],[0],24,24.472840955617635
39,0,11,"[25, 13, 20, 7, 15, 13, 6, 5, 15, 7, 13]","[0, 0, 0, 0, 0, 0, 31, 0, 0, 12, 0]",139,179.16983570051477
39,1,2,"[23, 17]","[0, 0]",40,38.345166804572465
39,2,4,"[17, 7, 23, 10]","[0, 5, 0, 0]",57,60.42464743284723
39,3,4,"[24, 19, 18, 17]","[0, 0, 13, 0]",78,89.4638807503292
40,0,11,"[24, 5, 8, 6, 23, 16, 14, 12, 12, 12, 17]","[11, 0, 0, 10, 0, 0, 14, 0, 0, 39, 0]",149,225.16558877857813
40,1,5,"[13, 25, 10, 9, 20]","[0, 0, 0, 6, 0]",77,82.03429864357888
40,2,8,"[17, 8, 13, 17, 25, 20, 22, 24]","[42, 0, 0, 0, 0, 0, 9, 0]",146,194.4955690669406
41,0,10,"[13, 19, 11, 13, 8, 16, 23, 21, 22, 15]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",161,158.64016643458834
41,1,12,"[17, 19, 8, 8, 20, 17, 16, 23, 9, 14, 20, 10]","[0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 12, 0]",181,201.6136221746604
42,0,12,"[15, 21, 25, 14, 13, 22, 5, 17, 24, 7, 16, 16]","[37, 0, 0, 0, 59, 0, 0, 0, 0, 5, 0, 0]",195,299.6585070589542
42,1,12,"[20, 22, 17, 23, 25, 22, 13, 6, 24, 10, 16, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0]",204,248.6018873832636
42,2,1,[17],[0],17,21.78682392555792
42,3,4,"[20, 6, 17, 21]","[0, 0, 50, 0]",64,114.21504865050909
43,0,7,"[19, 20, 11, 5, 12, 21, 24]","[0, 0, 0, 0, 0, 0, 0]",112,112.41678420407068
43,1,12,"[11, 24, 10, 11, 18, 25, 13, 5, 19, 25, 17, 5]","[51, 0, 40, 32, 0, 0, 0, 0, 0, 0, 0, 0]",183,305.8282356216459
43,2,5,"[7, 22, 19, 9, 20]","[0, 0, 0, 0, 0]",77,76.19337455967035
43,3,8,"[10, 22, 10, 19, 22, 16, 19, 15]","[0, 0, 0, 0, 36, 0, 0, 0]",133,171.4619946979687
43,4,9,"[22, 13, 24, 5, 15, 11, 9, 6, 18]","[0, 0, 54, 0, 0, 14, 0, 0, 0]",123,194.28194554938779
43,5,5,"[17, 10, 21, 7, 23]","[0, 0, 14, 0, 0]",78,90.33113220724587
44,0,7,"[11, 20, 9, 7, 15, 23, 23]","[10, 0, 0, 47, 0, 0, 0]",108,167.74383474644728
44,1,12,"[14, 18, 25, 15, 22, 18, 18, 20, 14, 13, 17, 15]","[0, 0, 0, 0, 0, 6, 0, 20, 0, 0, 59, 0]",209,297.8695252425142
44,2,12,"[7, 17, 12, 18, 8, 16, 23, 20, 8, 7, 7, 25]","[0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0]",168,176.2726850510783
44,3,7,"[10, 13, 7, 8, 13, 14, 18]","[0, 0, 0, 0, 0, 0, 0]",83,87.27586214014059
44,4,6,"[10, 21, 11, 17, 21, 11]","[0, 0, 0, 22, 25, 0]",91,142.08756602174495
45,0,7,"[5, 8, 11, 14, 9, 17, 19]","[0, 0, 0, 0, 0, 0, 0]",83,85.89245150377052
45,1,10,"[17, 18, 13, 12, 25, 17, 21, 17, 10, 13]","[0, 0, 5, 0, 0, 0, 0, 0, 0, 0]",163,170.3915990385947
45,2,4,"[14, 7, 9, 18]","[0, 0, 0, 0]",48,50.31436458476735
45,3,9,"[14, 15, 13, 9, 17, 7, 13, 8, 24]","[0, 0, 0, 0, 0, 0, 30, 0, 0]",120,147.03456254642506
45,4,1,[25],[14],25,40.386531498194415
45,5,4,"[19, 12, 10, 8]","[0, 0, 0, 0]",49,47.86945437684875
46,0,12,"[24, 12, 12, 8, 14, 6, 14, 24, 21, 25, 6, 7]","[0, 0, 9, 0, 0, 0, 0, 15, 0, 0, 31, 10]",173,240.41618728148129
46,1,7,"[8, 12, 13, 22, 19, 24, 14]","[0, 0, 0, 14, 0, 0, 0]",112,126.2935419706191
47,0,12,"[24, 15, 25, 13, 25, 25, 16, 20, 22, 9, 11, 20]","[0, 0, 0, 0, 7, 0, 0, 0, 7, 11, 0, 0]",225,254.67241733144607
47,1,4,"[14, 22, 13, 13]","[0, 23, 0, 0]",62,82.10297528235051
47,2,1,[19],[0],19,17.381752241626742
48,0,1,[11],[25],11,39.380950427981375
48,1,3,"[6, 21, 6]","[0, 0, 0]",33,33.84899195326359
48,2,6,"[20, 13, 17, 21, 10, 11]","[0, 0, 9, 0, 11, 33]",92,148.76641568891245
48,3,6,"[15, 5, 8, 13, 7, 13]","[14, 0, 0, 0, 7, 0]",61,80.99627695861231
49,0,3,"[25, 12, 18]","[0, 0, 0]",55,58.31243545654015
49,1,12,"[23, 15, 11, 9, 16, 14, 14, 15, 17, 5, 16, 15]","[0, 0, 0, 22, 0, 0, 0, 0, 0, 42, 0, 0]",170,236.80870881926177
49,2,3,"[14, 9, 12]","[0, 0, 0]",35,39.34621869064425
49,3,2,"[17, 10]","[0, 0]",27,28.186794923497942
49,4,5,"[10, 22, 25, 19, 23]","[0, 0, 0, 0, 31]",99,132.97708594666165
49,5,9,"[12, 23, 9, 8, 16, 6, 22, 11, 15]","[32, 0, 0, 0, 0, 0, 8, 0, 28]",122,191.12578917912205
50,0,7,"[16, 5, 13, 20, 6, 6, 24]","[0, 0, 0, 0, 0, 0, 0]",90,89.05084271827269
50,1,6,"[13, 6, 12, 12, 18, 13]","[0, 0, 0, 0, 0, 0]",74,71.22847512025099
50,2,12,"[23, 6, 22, 25, 19, 7, 7, 19, 21, 16, 25, 12]","[0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0]",202,236.0104067383585
50,3,4,"[10, 19, 15, 9]","[0, 0, 0, 6]",53,61.523145790356935
50,4,6,"[22, 6, 17, 7, 17, 16]","[0, 0, 0, 0, 0, 0]",85,82.25149463196682
50,5,2,"[16, 5]","[0, 54]",21,78.04590787145182
51,0,6,"[24, 6, 25, 16, 23, 16]","[0, 0, 0, 33, 0, 0]",110,140.34275001700095
51,1,3,"[11, 10, 18]","[0, 15, 0]",39,52.34208589160999
51,2,6,"[18, 13, 9, 11, 12, 21]","[0, 32, 0, 0, 0, 0]",84,118.93630285678562
51,3,2,"[15, 19]","[0, 0]",34,32.780734399548976
51,4,2,"[16, 18]","[0, 0]",34,35.644302575197024
52,0,4,"[6, 10, 15, 22]","[12, 0, 15, 0]",53,83.42801080058402
52,1,10,"[8, 19, 7, 20, 19, 19, 22, 12, 8, 11]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0]",145,176.50465162213092
52,2,5,"[21, 14, 12, 23, 12]","[0, 0, 5, 50, 0]",82,140.72797614939665
52,3,8,"[22, 20, 13, 16, 10, 19, 18, 18]","[0, 0, 0, 0, 0, 0, 0, 0]",136,136.7860977234904
52,4,2,"[6, 16]","[24, 0]",22,44.935628787501926
53,0,9,"[14, 5, 17, 10, 18, 21, 12, 25, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",128,126.63752078512101
53,1,7,"[10, 11, 17, 17, 21, 8, 24]","[0, 11, 0, 0, 6, 14, 0]",108,142.45573995756024
54,0,6,"[21, 21, 6, 9, 12, 5]","[0, 0, 0, 0, 0, 0]",74,73.28839429714387
54,1,8,"[20, 12, 15, 5, 20, 21, 17, 22]","[0, 31, 13, 0, 0, 0, 0, 0]",132,173.05367331526594
54,2,5,"[11, 20, 17, 12, 15]","[0, 0, 0, 0, 0]",75,78.28230999367179
55,0,2,"[23, 7]","[7, 0]",30,35.98127727843544
55,1,5,"[15, 25, 14, 5, 18]","[0, 0, 0, 0, 30]",77,108.13838738107695
55,2,1,[6],[0],6,7.361578096131609
55,3,8,"[7, 22, 22, 11, 19, 17, 6, 5]","[0, 0, 7, 0, 0, 0, 0, 0]",109,119.42409635141473
56,0,7,"[23, 25, 14, 13, 11, 18, 12]","[0, 0, 0, 39, 43, 0, 0]",116,195.66005100321445
56,1,6,"[5, 18, 24, 18, 12, 25]","[0, 0, 0, 14, 0, 44]",102,164.33998025950976
56,2,11,"[13, 7, 25, 7, 19, 10, 23, 10, 17, 14, 22]","[0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0]",167,204.8401950131686
56,3,7,"[24, 9, 18, 6, 8, 16, 5]","[0, 0, 0, 0, 0, 0, 0]",86,88.16605387570429
57,0,3,"[6, 10, 5]","[12, 0, 0]",21,33.0502112178742
57,1,9,"[7, 9, 12, 18, 24, 18, 14, 14, 5]","[0, 0, 31, 0, 0, 5, 0, 0, 0]",121,159.88937222810065
57,2,6,"[7, 7, 19, 9, 17, 12]","[34, 0, 37, 23, 0, 0]",71,162.2137628889868
57,3,6,"[10, 15, 22, 7, 9, 8]","[0, 0, 37, 0, 0, 0]",71,105.76477260217246
57,4,6,"[18, 12, 14, 24, 25, 24]","[26, 0, 0, 0, 11, 0]",117,155.801949455126
57,5,8,"[6, 24, 19, 7, 8, 9, 11, 14]","[0, 0, 0, 0, 0, 0, 6, 0]",98,103.25638397890275
58,0,6,"[19, 11, 14, 24, 12, 15]","[0, 0, 0, 0, 0, 0]",95,97.15511913800236
58,1,11,"[23, 9, 12, 14, 25, 19, 15, 13, 19, 11, 5]","[0, 0, 0, 0, 0, 20, 37, 20, 0, 15, 0]",165,256.1943082481197
